"metric","x","value","group","x_unit","unit","definition","fishery","display_name","fishery_name","group_label"
"selectivity",7,1.28302067662463,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",8,2.16634110527751,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",9,2.65736999345073,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",10,2.87497111030192,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",11,2.95945985149344,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",12,2.95945985149344,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",1,2.06115362243856e-09,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",2,2.06115362243856e-09,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",3,2.06097773738853e-09,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",4,5.11732325642717e-05,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",5,0.650936515416342,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",6,7.32796032100037,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",7,7.31925344056558,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",8,4.86853372499719,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
