"parameter","domain","group","component","x","target","requested_target","actual","target_tolerance","target_attained","relative_target_error","objective","penalty","penalty_weight","objective_basis","objective_with_penalty","unit","axis_label","axis_definition","profile_type","profile_id","converged","objective_label","objective_definition","component_id","parent_component_id","fishery","region","group_label","fishery_name"
"average_biomass","length","length_composition/region/1","9.LL.PICT.1cd",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-335.172444351829,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1/fishery/9","length_composition/region/1","9","1","Region 1",
"average_biomass","length","length_composition/region/1","10.LL.AZ.1cd",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-2873.36049519727,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1/fishery/10","length_composition/region/1","10","1","Region 1",
"average_biomass","length","length_composition/region/1","11.TR.ALL1c",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-4711.34244752923,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1/fishery/11","length_composition/region/1","11","1","Region 1",
"average_biomass","length","length_composition/region/1","12.TR.All.1d",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-1043.44083288128,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1/fishery/12","length_composition/region/1","12","1","Region 1",
"average_biomass","length","length_composition/region/1","13.DN.All.1cd",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-60.8469505899156,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1/fishery/13","length_composition/region/1","13","1","Region 1",
"average_biomass","length","length_composition/region/1","18.L.INDEX.1abcd",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-2066.67574764593,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1/fishery/18","length_composition/region/1","18","1","Region 1",
"average_biomass","length","length_composition/region/1","19.TR.INDEX.1ef",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-873.694980680256,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1/fishery/19","length_composition/region/1","19","1","Region 1",
"average_biomass","length","length_composition/region/2","14.LL.EPO.2a",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-3105.55102716882,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/2/fishery/14","length_composition/region/2","14","2","Region 2",
"average_biomass","length","length_composition/region/2","15.LL.EPO.2b",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-773.696887603182,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/2/fishery/15","length_composition/region/2","15","2","Region 2",
"average_biomass","length","length_composition/region/2","16.LL.EPO.2c",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-256.422892384958,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/2/fishery/16","length_composition/region/2","16","2","Region 2",
"average_biomass","length","length_composition/region/2","17.TR.EPO.2abc",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-48.6755866879777,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/2/fishery/17","length_composition/region/2","17","2","Region 2",
"average_biomass","length","length_composition/region/2","20.L.INDEX.2abc",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-1281.7026510634,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/2/fishery/20","length_composition/region/2","20","2","Region 2",
"average_biomass","conditional_age","age_length/region/1","3.LL.DWFN.1c",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,11.2815136512875,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","age_length/region/1/fishery/3","age_length/region/1","3","1","Region 1",
"average_biomass","conditional_age","age_length/region/1","6.LL.PICT.1ab",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,301.731353434179,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","age_length/region/1/fishery/6","age_length/region/1","6","1","Region 1",
"average_biomass","conditional_age","age_length/region/1","7.LL.AZ.1ab",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,44.3587939543635,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","age_length/region/1/fishery/7","age_length/region/1","7","1","Region 1",
"average_biomass","conditional_age","age_length/region/1","8.LL.DWFN.1cd",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,21.9752085640725,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","age_length/region/1/fishery/8","age_length/region/1","8","1","Region 1",
"average_biomass","conditional_age","age_length/region/1","9.LL.PICT.1cd",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,142.138249409957,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","age_length/region/1/fishery/9","age_length/region/1","9","1","Region 1",
"average_biomass","conditional_age","age_length/region/1","10.LL.AZ.1cd",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,58.2960005919318,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","age_length/region/1/fishery/10","age_length/region/1","10","1","Region 1",
"average_biomass","conditional_age","age_length/region/1","11.TR.ALL1c",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,203.458859056557,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","age_length/region/1/fishery/11","age_length/region/1","11","1","Region 1",
