"time","metric","value","unit","group","definition","display_name","model","label","facet"
1991,"spawning_biomass",282486,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1992,"spawning_biomass",308537,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1993,"spawning_biomass",324521,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1994,"spawning_biomass",327013,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1995,"spawning_biomass",340652,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1996,"spawning_biomass",350742,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1997,"spawning_biomass",359964,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1998,"spawning_biomass",386700,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1999,"spawning_biomass",388100,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2000,"spawning_biomass",376710,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2001,"spawning_biomass",343149,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2002,"spawning_biomass",322694,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2003,"spawning_biomass",319973,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2004,"spawning_biomass",302564,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2005,"spawning_biomass",334048,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2006,"spawning_biomass",376180,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2007,"spawning_biomass",386610,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2008,"spawning_biomass",359950,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2009,"spawning_biomass",346592,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2010,"spawning_biomass",359490,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2011,"spawning_biomass",372900,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2012,"spawning_biomass",382720,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2013,"spawning_biomass",388480,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2014,"spawning_biomass",413040,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2015,"spawning_biomass",425110,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2016,"spawning_biomass",390462,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2017,"spawning_biomass",366724,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2018,"spawning_biomass",359902,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2019,"spawning_biomass",341447,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2020,"spawning_biomass",299273,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2021,"spawning_biomass",287410,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
2022,"spawning_biomass",340493,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1954,"dynamic_spawning_depletion",1,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1955,"dynamic_spawning_depletion",0.994660837509711,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1956,"dynamic_spawning_depletion",0.98839565723268,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1957,"dynamic_spawning_depletion",0.985838534420445,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1958,"dynamic_spawning_depletion",0.981633866274522,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1959,"dynamic_spawning_depletion",0.974194919255832,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1960,"dynamic_spawning_depletion",0.962570879267966,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1961,"dynamic_spawning_depletion",0.94949240999055,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1962,"dynamic_spawning_depletion",0.934872918161562,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1963,"dynamic_spawning_depletion",0.910279387348954,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1964,"dynamic_spawning_depletion",0.885935984481086,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1965,"dynamic_spawning_depletion",0.876180468177482,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1966,"dynamic_spawning_depletion",0.877815128283486,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1967,"dynamic_spawning_depletion",0.857629280112223,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1968,"dynamic_spawning_depletion",0.818038833600111,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1969,"dynamic_spawning_depletion",0.780384411580519,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1970,"dynamic_spawning_depletion",0.768476700626685,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1971,"dynamic_spawning_depletion",0.751650983106654,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1972,"dynamic_spawning_depletion",0.721085479538632,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1973,"dynamic_spawning_depletion",0.686560479952681,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1974,"dynamic_spawning_depletion",0.642935653766888,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1975,"dynamic_spawning_depletion",0.617556858607915,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1976,"dynamic_spawning_depletion",0.652199865695028,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1977,"dynamic_spawning_depletion",0.720556721528775,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1978,"dynamic_spawning_depletion",0.745958562109009,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1979,"dynamic_spawning_depletion",0.72386248542873,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1980,"dynamic_spawning_depletion",0.702701228975295,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1981,"dynamic_spawning_depletion",0.669333863498152,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1982,"dynamic_spawning_depletion",0.648970924534466,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1983,"dynamic_spawning_depletion",0.656912298260978,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
