"axis","series","bin_unit","bin","variance","predicted","observed","fitted_predicted","lower","upper","unit","n_samples","probability","effective_sample_size","effective_size_type","effective_size_definition","uncertainty","scope","region","group"
"length","F10_R1","cm",91,601194.477809796,2662.72380345219,2036.28321054737,2662.72380345219,1143.03178539885,4182.41582150553,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",93,578954.841341877,2608.52295266345,1946.26396918789,2608.52295266345,1117.20434751688,4099.84155781003,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",95,554019.262022242,2409.93880395531,1718.11182315851,2409.93880395531,951.089195212247,3868.78841269838,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",97,541538.628408812,2060.82785129043,1703.07496047205,2060.82785129043,618.503913734229,3503.15178884663,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",99,505039.843904676,1629.61326325045,1442.13363424218,1629.61326325045,236.742212804785,3022.48431369611,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",101,454071.657127738,1197.42541571852,1129.0575322855,1197.42541571852,0,2518.14399758998,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",103,429442.383112177,817.50891299942,943.993743524768,817.50891299942,0,2101.90964119377,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",105,357691.395185197,518.521840140066,609.895610178203,518.521840140066,0,1690.72351439265,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",107,296173.38684932,303.079683268546,351.33789368484,303.079683268546,0,1369.7276427037,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",109,249733.682952561,164.730308599047,189.699979534081,164.730308599047,0,1144.19018996354,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",111,225862.522735442,82.0471330667858,102.92796794954,82.0471330667858,0,1013.51993472354,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",113,208613.891094029,37.4286199819932,46.8934344731509,37.4286199819932,0,932.627855941497,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",115,178625.78869923,14.718946276804,17.3650815725759,14.718946276804,0,843.08095144248,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",117,155221.751372895,4.58285318202283,5.24370550265024,4.58285318202283,0,776.773222181144,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",119,148058.213748235,0.74383650310866,7.5052533643241,0.74383650310866,0,754.905312036944,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",121,,0,8.89308745444571,0,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",123,,0,3.50997010845128,0,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",125,,0,1.0603166124751,0,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",127,,0,1.6645720933963,0,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
