"time","metric","group","value","unit","definition","model","label"
2051,"total_biomass","all",3003279.6561816,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2051,"biomass_depletion","all",0.951894669365775,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2051,"fishing_mortality","all",0.0151463338694752,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2051,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2052,"total_biomass","all",3003626.41679975,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2052,"biomass_depletion","all",0.952004575742052,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2052,"fishing_mortality","all",0.0151445719578047,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2052,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2023,"total_biomass","all",902918.314809643,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2023,"biomass_depletion","all",0.286181517918576,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2023,"fishing_mortality","all",0.0512932943875505,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2023,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2024,"total_biomass","all",1042524.57843812,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2024,"biomass_depletion","all",0.330429964074595,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2024,"fishing_mortality","all",0.0442700298752544,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2024,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2025,"total_biomass","all",1208919.82017029,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2025,"biomass_depletion","all",0.383169223066568,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2025,"fishing_mortality","all",0.0380591600405694,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2025,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2026,"total_biomass","all",1382270.68468467,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2026,"biomass_depletion","all",0.438113078701706,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2026,"fishing_mortality","all",0.0332059567835412,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2026,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2027,"total_biomass","all",1575650.68736569,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2027,"biomass_depletion","all",0.499405204240235,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2027,"fishing_mortality","all",0.0290707247073533,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2027,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2028,"total_biomass","all",1769845.24798157,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2028,"biomass_depletion","all",0.560955505321792,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2028,"fishing_mortality","all",0.0258393771033876,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2028,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2029,"total_biomass","all",1979756.46508707,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2029,"biomass_depletion","all",0.627487227797764,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2029,"fishing_mortality","all",0.0230677999734908,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2029,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2030,"total_biomass","all",2165872.66995626,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2030,"biomass_depletion","all",0.686477080085716,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2030,"fishing_mortality","all",0.0210645225195832,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2030,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2031,"total_biomass","all",2309808.72815265,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2031,"biomass_depletion","all",0.732097862101358,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2031,"fishing_mortality","all",0.0197388402791814,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2031,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2032,"total_biomass","all",2458456.46308866,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2032,"biomass_depletion","all",0.779212018189899,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2032,"fishing_mortality","all",0.0185342230052249,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2032,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
