"time","metric","group","value","unit","definition","initial_state","display_name","coverage","model","label"
2014,"spawning_biomass","all",345014.794441177,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2015,"spawning_biomass","all",338119.459697383,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2016,"spawning_biomass","all",317425.202569025,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2017,"spawning_biomass","all",294798.86278218,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2018,"spawning_biomass","all",287993.624177415,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2019,"spawning_biomass","all",266659.412604178,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2020,"spawning_biomass","all",240036.381182403,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2021,"spawning_biomass","all",244709.991950116,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2022,"spawning_biomass","all",264844.986219579,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",0.583333333333258,"reference","Reference"
1954,"dynamic_spawning_depletion","all",0.996924372976471,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,0.916666666666742,"reference","Reference"
1955,"dynamic_spawning_depletion","all",0.990303179134773,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1956,"dynamic_spawning_depletion","all",0.98577877597364,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1957,"dynamic_spawning_depletion","all",0.981351051989542,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1958,"dynamic_spawning_depletion","all",0.975966306500481,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1959,"dynamic_spawning_depletion","all",0.963809756330066,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1960,"dynamic_spawning_depletion","all",0.952578512252473,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1961,"dynamic_spawning_depletion","all",0.938049623907154,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1962,"dynamic_spawning_depletion","all",0.918065916838279,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1963,"dynamic_spawning_depletion","all",0.890716233700074,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1964,"dynamic_spawning_depletion","all",0.869284990523822,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1965,"dynamic_spawning_depletion","all",0.866904146316212,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1966,"dynamic_spawning_depletion","all",0.855425669898783,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1967,"dynamic_spawning_depletion","all",0.825296462117441,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1968,"dynamic_spawning_depletion","all",0.784718961456113,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1969,"dynamic_spawning_depletion","all",0.759421515631149,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1970,"dynamic_spawning_depletion","all",0.743563632106971,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1971,"dynamic_spawning_depletion","all",0.713645237484005,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1972,"dynamic_spawning_depletion","all",0.681388131623728,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1973,"dynamic_spawning_depletion","all",0.642418370662253,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1974,"dynamic_spawning_depletion","all",0.607520145002937,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1975,"dynamic_spawning_depletion","all",0.614840142864902,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1976,"dynamic_spawning_depletion","all",0.669404101074095,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1977,"dynamic_spawning_depletion","all",0.711265221476001,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1978,"dynamic_spawning_depletion","all",0.715608032782309,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1979,"dynamic_spawning_depletion","all",0.700778628650069,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1980,"dynamic_spawning_depletion","all",0.676310909073571,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1981,"dynamic_spawning_depletion","all",0.640354100690459,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1982,"dynamic_spawning_depletion","all",0.627799886902226,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1983,"dynamic_spawning_depletion","all",0.652548326614445,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1984,"dynamic_spawning_depletion","all",0.68080553638533,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1985,"dynamic_spawning_depletion","all",0.695693093863639,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1986,"dynamic_spawning_depletion","all",0.689954199675352,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1987,"dynamic_spawning_depletion","all",0.679336599147198,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1988,"dynamic_spawning_depletion","all",0.661976239111717,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1989,"dynamic_spawning_depletion","all",0.635508438463113,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1990,"dynamic_spawning_depletion","all",0.636818710475566,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1991,"dynamic_spawning_depletion","all",0.635235146962726,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1992,"dynamic_spawning_depletion","all",0.634430177960873,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1993,"dynamic_spawning_depletion","all",0.638900215957631,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1994,"dynamic_spawning_depletion","all",0.637781286947313,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1995,"dynamic_spawning_depletion","all",0.646370734761608,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1996,"dynamic_spawning_depletion","all",0.652231990661402,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1997,"dynamic_spawning_depletion","all",0.663380488880837,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1998,"dynamic_spawning_depletion","all",0.653840251969026,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
1999,"dynamic_spawning_depletion","all",0.648278791508346,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2000,"dynamic_spawning_depletion","all",0.63241854429045,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2001,"dynamic_spawning_depletion","all",0.60040970885715,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2002,"dynamic_spawning_depletion","all",0.565252312736127,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2003,"dynamic_spawning_depletion","all",0.535221725999121,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2004,"dynamic_spawning_depletion","all",0.525538115510552,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2005,"dynamic_spawning_depletion","all",0.542006512071403,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2006,"dynamic_spawning_depletion","all",0.547146256989939,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2007,"dynamic_spawning_depletion","all",0.536827121823333,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2008,"dynamic_spawning_depletion","all",0.524304353587817,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2009,"dynamic_spawning_depletion","all",0.511153752978661,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2010,"dynamic_spawning_depletion","all",0.501882761649498,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2011,"dynamic_spawning_depletion","all",0.50640987102095,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2012,"dynamic_spawning_depletion","all",0.509172787261542,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2013,"dynamic_spawning_depletion","all",0.501701358608563,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2014,"dynamic_spawning_depletion","all",0.508445203832983,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2015,"dynamic_spawning_depletion","all",0.496520635667687,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
